"unitid","institution name","year","IC2011.Religious affiliation","DRVHR2011.Average salary equated to 9-month contracts of full-time instructional staff - all ranks","DRVIC2011.Percent admitted - total","DRVIC2011.Admissions yield - total","IC2011.SAT Critical Reading 25th percentile score","IC2011.SAT Critical Reading 75th percentile score","IC2011.SAT Math 25th percentile score","IC2011.SAT Math 75th percentile score","IC2011.ACT Composite 25th percentile score","IC2011.ACT Composite 75th percentile score","DRVGR2011.Graduation rate - bachelor's degree within 6 years, total","F1011_F2.Total expenses","F1011_F2.Instruction-Total amount","F1011_F2.Value of endowment assets at the end of the fiscal year"
"385619","Everglades University","2011","Not applicable","35134","86","56",,,,,,,"65","18810253","3985550",
"398130","Mt Sierra College","2011","Not applicable",,"40","90",,,,,,,"27",,,
"399911","Soka University of America","2011","Not applicable","90941","34","61","473","620","540","680","23","27","87","42605000","9837000","1062627000"
"414823","Johnson & Wales University-North Miami","2011","Not applicable","61324","63","19",,,,,,,"46",,,
"414878","Trine University-Regional/Non-Traditional Campuses","2011","Not applicable","54153","64","26",,,,,,,"0",,,
"421832","Living Arts College","2011","Not applicable","29915",,,,,,,,,,,,
"428259","Ottawa University-Milwaukee","2011","American Baptist","50789",,,,,,,,,,,,
"432241","University of Phoenix-Oregon","2011","Not applicable","23263",,,,,,,,,"25",,,
"437325","Linfield College-Online and Continuing Education","2011","American Baptist","50254",,,,,,,,,,,,
"440466","University of Phoenix-Idaho","2011","Not applicable","16388",,,,,,,,,"9",,,
"441900","Nevada State College","2011","Not applicable","67537","66","36",,,,,,,"22",,,
"443410","DigiPen Institute of Technology","2011","Not applicable","67845","49","68","515","655","540","665","23","30","54",,,
"445319","University of Phoenix-Minnesota","2011","Not applicable","16024",,,,,,,,,"7",,,
"446048","Ave Maria University","2011","Roman Catholic","56958","48","36","500","620","490","600","21","26","41","34393208","9324250","2168081"
"447050","United States University","2011","Not applicable","70090",,,,,,,,,,,,
"447689","Georgia Gwinnett College","2011","Not applicable","64284",,,,,,,,,,,,
"449870","University of the West","2011","Not applicable","43213",,,,,,,,,"0","5203723","1206495","7837249"
"450085","The Art Institute of Charleston","2011","Not applicable","40169","47","94",,,,,,,,,,
"450298","Strayer University-Delaware","2011","Not applicable","52357",,,,,,,,,,,,
"451060","Digital Media Arts College","2011","Not applicable","33497",,,,,,,,,"46",,,
"454184","The King's College","2011","Interdenominational","66253","67","7","580","670","520","610","24","28","51","16458152","4849191","474487"
"454582","Ottawa University-Online","2011","American Baptist","53823",,,,,,,,,,,,
"455770","Providence Christian College","2011","Undenominational","50169","50","77",,,,,,,"57","2492030","1206238","15000"
"456621","Strayer University-West Virginia","2011","Not applicable","52650",,,,,,,,,,,,
"457484","Pacific Rim Christian University","2011","Other Protestant","29455","76","89",,,,,,,"44","1075527","224839",
"457697","City Vision University","2011","Not applicable",,,,,,,,,,,"1822419","76268",
"458496","The Art Institute of Virginia Beach","2011","Not applicable","38347","53","62",,,,,,,,,,
"458973","Strayer University-Texas","2011","Not applicable","53096",,,,,,,,,,,,
"458982","The Art Institute of San Antonio","2011","Not applicable","42680","57","70",,,,,,,,,,
"459268","South University–Virginia Beach","2011","Not applicable","49092","59","71",,,,,,,,,,
"459851","Herzing University-Brookfield","2011","Not applicable","52677","100","66",,,,,,,,,,
"460783","Remington College-Heathrow Campus","2011","Not applicable",,"50","77",,,,,,,,"3405082","157877",
"461236","Georgia Christian University","2011","Not applicable","36364",,,,,,,,,,"1843437","795810",
"461795","North American University","2011","Not applicable","45658","100","85",,,,,,,,"164625","60000",
"462044","Institute for Doctoral Studies in the Visual Arts","2011","Not applicable","70191",,,,,,,,,,"469850","189629",
"462354","John Paul the Great Catholic University","2011","Roman Catholic","51897",,,,,,,,,,"2797995","1608824",
"468015","South University-The Art Institute of Fort Worth","2011","Not applicable","42763","41","96",,,,,,,,,,
"468024","South University-Novi","2011","Not applicable","53183","54","57",,,,,,,,,,
"470092","The Art Institute of Wisconsin","2011","Not applicable","41237","70","84",,,,,,,,,,
"475200","Whitworth University-Adult Degree Programs","2011","Presbyterian Church (USA)","46804",,,,,,,,,,,"1911536",
"480073","South University-Austin","2011",,,,,,,,,,,,,,
"480134","Elizabethtown College School of Continuing and Professional Studies","2011",,,,,,,,,,,,,,
"481720","South University-High Point","2011",,,,,,,,,,,,,,
"482158","Middle Georgia State University","2011",,,,,,,,,,,,,,
"484622","University of Phoenix-Arkansas","2011",,,,,,,,,,,,,,
"484701","University of Phoenix-Missouri","2011",,,,,,,,,,,,,,
"484783","University of Phoenix-Pennsylvania","2011",,,,,,,,,,,,,,
